date,last_available_date,is_last,region,state,epidemiological_week,accumulated_cases,accumulated_deaths,new_cases,new_deaths
2020-03-17,2020-03-17,False,Norte,AC,202012,3,0,3,0
2020-03-18,2020-03-18,False,Norte,AC,202012,3,0,0,0
2020-03-19,2020-03-19,False,Norte,AC,202012,4,0,1,0
2020-03-20,2020-03-20,False,Norte,AC,202012,7,0,3,0
2020-03-21,2020-03-21,False,Norte,AC,202012,11,0,4,0
2020-03-22,2020-03-22,False,Norte,AC,202013,11,0,0,0
2020-03-23,2020-03-23,False,Norte,AC,202013,17,0,6,0
2020-03-24,2020-03-24,False,Norte,AC,202013,21,0,4,0
2020-03-25,2020-03-25,False,Norte,AC,202013,23,0,2,0
2020-03-26,2020-03-26,False,Norte,AC,202013,23,0,0,0
2020-03-27,2020-03-27,False,Norte,AC,202013,25,0,2,0
2020-03-28,2020-03-28,False,Norte,AC,202013,25,0,0,0
2020-03-29,2020-03-29,False,Norte,AC,202014,34,0,9,0
2020-03-30,2020-03-30,False,Norte,AC,202014,41,0,7,0
2020-03-31,2020-03-31,False,Norte,AC,202014,42,0,1,0
2020-04-01,2020-04-01,False,Norte,AC,202014,43,0,1,0
2020-04-02,2020-04-02,False,Norte,AC,202014,45,0,2,0
2020-04-03,2020-04-03,False,Norte,AC,202014,46,0,1,0
2020-04-04,2020-04-04,False,Norte,AC,202014,46,0,0,0
2020-04-05,2020-04-05,False,Norte,AC,202015,48,0,2,0
2020-04-06,2020-04-06,False,Norte,AC,202015,50,1,2,1
2020-04-07,2020-04-07,False,Norte,AC,202015,50,2,0,1
2020-04-08,2020-04-08,False,Norte,AC,202015,58,2,8,0
2020-04-09,2020-04-09,False,Norte,AC,202015,62,2,4,0
2020-04-10,2020-04-10,False,Norte,AC,202015,70,2,8,0
2020-04-11,2020-04-11,False,Norte,AC,202015,72,2,2,0
2020-04-12,2020-04-12,False,Norte,AC,202016,77,2,5,0
2020-04-13,2020-04-13,False,Norte,AC,202016,90,3,13,1
2020-04-14,2020-04-14,False,Norte,AC,202016,99,3,9,0
2020-04-15,2020-04-15,False,Norte,AC,202016,101,4,2,1
2020-04-16,2020-04-16,False,Norte,AC,202016,115,5,14,1
2020-04-17,2020-04-17,False,Norte,AC,202016,135,5,20,0
2020-04-18,2020-04-18,False,Norte,AC,202016,142,6,7,1
2020-04-19,2020-04-19,False,Norte,AC,202017,163,6,21,0
2020-04-20,2020-04-20,False,Norte,AC,202017,176,8,13,2
2020-04-21,2020-04-21,False,Norte,AC,202017,195,8,19,0
2020-04-22,2020-04-22,False,Norte,AC,202017,214,8,19,0
2020-04-23,2020-04-23,False,Norte,AC,202017,227,10,13,2
2020-04-24,2020-04-24,False,Norte,AC,202017,234,11,7,1
2020-04-25,2020-04-25,False,Norte,AC,202017,258,11,24,0
2020-04-26,2020-04-26,False,Norte,AC,202018,279,11,21,0
2020-04-27,2020-04-27,False,Norte,AC,202018,301,14,22,3
2020-04-28,2020-04-28,False,Norte,AC,202018,317,16,16,2
2020-04-29,2020-04-29,False,Norte,AC,202018,354,18,37,2
2020-04-30,2020-04-30,False,Norte,AC,202018,404,19,50,1
2020-05-01,2020-05-01,False,Norte,AC,202018,487,19,83,0
2020-05-02,2020-05-02,False,Norte,AC,202018,553,22,66,3
2020-05-03,2020-05-03,False,Norte,AC,202019,658,25,105,3
2020-05-04,2020-05-04,False,Norte,AC,202019,733,28,75,3
2020-05-05,2020-05-05,False,Norte,AC,202019,817,29,84,1
2020-05-06,2020-05-06,False,Norte,AC,202019,943,35,126,6
2020-05-07,2020-05-07,False,Norte,AC,202019,1014,36,71,1
2020-05-08,2020-05-08,False,Norte,AC,202019,1177,38,163,2
2020-05-09,2020-05-09,False,Norte,AC,202019,1335,40,158,2
2020-05-10,2020-05-10,False,Norte,AC,202020,1447,41,112,1
2020-05-11,2020-05-11,False,Norte,AC,202020,1460,44,13,3
2020-05-12,2020-05-12,False,Norte,AC,202020,1590,51,130,7
2020-05-13,2020-05-13,False,Norte,AC,202020,1694,52,104,1
2020-05-14,2020-05-14,False,Norte,AC,202020,1740,55,46,3
2020-05-15,2020-05-15,False,Norte,AC,202020,1785,57,45,2
2020-05-16,2020-05-16,False,Norte,AC,202020,1867,59,82,2
2020-05-17,2020-05-17,False,Norte,AC,202021,1996,62,129,3
2020-05-18,2020-05-18,False,Norte,AC,202021,2234,67,238,5
2020-05-19,2020-05-19,False,Norte,AC,202021,2482,73,248,6
2020-05-20,2020-05-20,False,Norte,AC,202021,2817,75,335,2
2020-05-21,2020-05-21,False,Norte,AC,202021,3103,78,286,3
2020-05-22,2020-05-22,False,Norte,AC,202021,3343,80,240,2
2020-05-23,2020-05-23,False,Norte,AC,202021,3867,87,524,7
2020-05-24,2020-05-24,False,Norte,AC,202022,4160,92,293,5
2020-05-25,2020-05-25,False,Norte,AC,202022,4501,97,341,5
2020-05-26,2020-05-26,False,Norte,AC,202022,4781,105,280,8
2020-05-27,2020-05-27,False,Norte,AC,202022,5251,113,470,8
2020-05-28,2020-05-28,False,Norte,AC,202022,5600,122,349,9
2020-05-29,2020-05-29,False,Norte,AC,202022,5841,135,241,13
2020-05-30,2020-05-30,False,Norte,AC,202022,6072,142,231,7
2020-05-31,2020-05-31,False,Norte,AC,202023,6219,148,147,6
2020-06-01,2020-06-01,False,Norte,AC,202023,6326,161,107,13
2020-06-02,2020-06-02,False,Norte,AC,202023,6465,165,139,4
2020-06-03,2020-06-03,False,Norte,AC,202023,6679,171,214,6
2020-06-04,2020-06-04,False,Norte,AC,202023,7021,181,342,10
2020-06-05,2020-06-05,False,Norte,AC,202023,7284,190,263,9
2020-06-06,2020-06-06,False,Norte,AC,202023,7525,201,241,11
2020-06-07,2020-06-07,False,Norte,AC,202024,7983,207,458,6
2020-06-08,2020-06-08,False,Norte,AC,202024,8127,211,144,4
2020-06-09,2020-06-09,False,Norte,AC,202024,8457,223,330,12
2020-06-10,2020-06-10,False,Norte,AC,202024,8746,237,289,14
2020-06-11,2020-06-11,False,Norte,AC,202024,9091,245,345,8
2020-06-12,2020-06-12,False,Norte,AC,202024,9295,254,204,9
2020-06-13,2020-06-13,False,Norte,AC,202024,9534,256,239,2
2020-06-14,2020-06-14,False,Norte,AC,202025,9642,259,108,3
2020-06-15,2020-06-15,False,Norte,AC,202025,9771,265,129,6
2020-06-16,2020-06-16,False,Norte,AC,202025,10003,271,232,6
2020-06-17,2020-06-17,False,Norte,AC,202025,10339,281,336,10
2020-06-18,2020-06-18,False,Norte,AC,202025,10664,287,325,6
2020-06-19,2020-06-19,False,Norte,AC,202025,10987,292,323,5
2020-06-20,2020-06-20,False,Norte,AC,202025,11263,297,276,5
2020-06-21,2020-06-21,False,Norte,AC,202026,11381,300,118,3
2020-06-22,2020-06-22,False,Norte,AC,202026,11539,305,158,5
2020-06-23,2020-06-23,False,Norte,AC,202026,11810,321,271,16
2020-06-24,2020-06-24,False,Norte,AC,202026,12022,326,212,5
2020-06-25,2020-06-25,False,Norte,AC,202026,12304,335,282,9
2020-06-26,2020-06-26,False,Norte,AC,202026,12644,343,340,8
2020-06-27,2020-06-27,False,Norte,AC,202026,12913,351,269,8
2020-06-28,2020-06-28,False,Norte,AC,202027,13058,353,145,2
2020-06-29,2020-06-29,False,Norte,AC,202027,13146,361,88,8
2020-06-30,2020-06-30,False,Norte,AC,202027,13253,365,107,4
2020-07-01,2020-07-01,False,Norte,AC,202027,13715,370,462,5
2020-07-02,2020-07-02,False,Norte,AC,202027,14048,378,333,8
2020-07-03,2020-07-03,False,Norte,AC,202027,14112,387,64,9
2020-07-04,2020-07-04,False,Norte,AC,202027,14487,391,375,4
2020-07-05,2020-07-05,False,Norte,AC,202028,14622,391,135,0
2020-07-06,2020-07-06,False,Norte,AC,202028,14688,394,66,3
2020-07-07,2020-07-07,False,Norte,AC,202028,14941,399,253,5
2020-07-08,2020-07-08,False,Norte,AC,202028,15167,404,226,5
2020-07-09,2020-07-09,False,Norte,AC,202028,15465,411,298,7
2020-07-10,2020-07-10,False,Norte,AC,202028,15768,417,303,6
2020-07-11,2020-07-11,False,Norte,AC,202028,16080,419,312,2
2020-07-12,2020-07-12,False,Norte,AC,202029,16190,426,110,7
2020-07-13,2020-07-13,False,Norte,AC,202029,16260,430,70,4
2020-07-14,2020-07-14,False,Norte,AC,202029,16479,436,219,6
2020-07-15,2020-07-15,False,Norte,AC,202029,16672,446,193,10
2020-07-16,2020-07-16,False,Norte,AC,202029,16865,447,193,1
2020-07-17,2020-07-17,False,Norte,AC,202029,16965,452,100,5
2020-07-18,2020-07-18,False,Norte,AC,202029,17202,457,237,5
2020-07-19,2020-07-19,False,Norte,AC,202030,17295,460,93,3
2020-07-20,2020-07-20,False,Norte,AC,202030,17462,465,167,5
2020-07-21,2020-07-21,False,Norte,AC,202030,17700,469,238,4
2020-07-22,2020-07-22,False,Norte,AC,202030,17979,470,279,1
2020-07-23,2020-07-23,False,Norte,AC,202030,18157,474,178,4
2020-07-24,2020-07-24,False,Norte,AC,202030,18393,480,236,6
2020-07-25,2020-07-25,False,Norte,AC,202030,18657,483,264,3
2020-07-26,2020-07-26,False,Norte,AC,202031,18745,486,88,3
2020-07-27,2020-07-27,False,Norte,AC,202031,18783,493,38,7
2020-07-28,2020-07-28,False,Norte,AC,202031,19132,500,349,7
2020-07-29,2020-07-29,False,Norte,AC,202031,19366,510,234,10
2020-07-30,2020-07-30,False,Norte,AC,202031,19573,521,207,11
2020-07-31,2020-07-31,False,Norte,AC,202031,19625,531,52,10
2020-08-01,2020-08-01,False,Norte,AC,202031,19930,535,305,4
2020-08-02,2020-08-02,False,Norte,AC,202032,19966,537,36,2
2020-08-03,2020-08-03,False,Norte,AC,202032,20339,539,373,2
2020-08-04,2020-08-04,False,Norte,AC,202032,20710,545,371,6
2020-08-05,2020-08-05,False,Norte,AC,202032,21033,547,323,2
2020-08-06,2020-08-06,False,Norte,AC,202032,21263,552,230,5
2020-08-07,2020-08-07,False,Norte,AC,202032,21376,556,113,4
2020-08-08,2020-08-08,False,Norte,AC,202032,21498,559,122,3
2020-08-09,2020-08-09,False,Norte,AC,202033,21587,561,89,2
2020-08-10,2020-08-10,False,Norte,AC,202033,21619,562,32,1
2020-08-11,2020-08-11,False,Norte,AC,202033,21757,565,138,3
