date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,MG,0,0,0,0
2020-02-26,Brazil,MG,0,0,0,0
2020-02-27,Brazil,MG,0,0,0,0
2020-02-28,Brazil,MG,0,0,0,0
2020-02-29,Brazil,MG,0,0,0,0
2020-03-01,Brazil,MG,0,0,0,0
2020-03-02,Brazil,MG,0,0,0,0
2020-03-03,Brazil,MG,0,0,0,0
2020-03-04,Brazil,MG,0,0,0,0
2020-03-05,Brazil,MG,0,0,0,0
2020-03-06,Brazil,MG,0,0,0,0
2020-03-07,Brazil,MG,0,0,0,0
2020-03-08,Brazil,MG,1,0,1,0
2020-03-09,Brazil,MG,1,0,0,0
2020-03-10,Brazil,MG,1,0,0,0
2020-03-11,Brazil,MG,1,0,0,0
2020-03-12,Brazil,MG,2,0,1,0
2020-03-13,Brazil,MG,2,0,0,0
2020-03-14,Brazil,MG,4,0,2,0
2020-03-15,Brazil,MG,4,0,0,0
2020-03-16,Brazil,MG,6,0,2,0
2020-03-17,Brazil,MG,14,0,8,0
2020-03-18,Brazil,MG,19,0,5,0
2020-03-19,Brazil,MG,29,0,10,0
2020-03-20,Brazil,MG,38,0,9,0
2020-03-21,Brazil,MG,55,0,17,0
2020-03-22,Brazil,MG,83,0,28,0
2020-03-23,Brazil,MG,128,0,45,0
2020-03-24,Brazil,MG,130,0,2,0
2020-03-25,Brazil,MG,133,0,3,0
2020-03-26,Brazil,MG,153,0,20,0
2020-03-27,Brazil,MG,189,0,36,0
2020-03-28,Brazil,MG,205,0,16,0
2020-03-29,Brazil,MG,231,0,26,0
2020-03-30,Brazil,MG,261,1,30,1
2020-03-31,Brazil,MG,275,2,14,1
2020-04-01,Brazil,MG,314,3,39,1
2020-04-02,Brazil,MG,370,4,56,1
2020-04-03,Brazil,MG,397,6,27,2
2020-04-04,Brazil,MG,430,6,33,0
2020-04-05,Brazil,MG,498,6,68,0
2020-04-06,Brazil,MG,525,9,27,3
2020-04-07,Brazil,MG,559,11,34,2
2020-04-08,Brazil,MG,614,14,55,3
2020-04-09,Brazil,MG,655,15,41,1
2020-04-10,Brazil,MG,698,17,43,2
2020-04-11,Brazil,MG,750,17,52,0
2020-04-12,Brazil,MG,806,20,56,3
2020-04-13,Brazil,MG,815,23,9,3
2020-04-14,Brazil,MG,884,27,69,4
2020-04-15,Brazil,MG,903,30,19,3
2020-04-16,Brazil,MG,958,33,55,3
2020-04-17,Brazil,MG,1021,35,63,2
2020-04-18,Brazil,MG,1077,39,56,4
2020-04-19,Brazil,MG,1154,39,77,0
2020-04-20,Brazil,MG,1189,41,35,2
