date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Nordeste,0,0,0,0
2020-02-26,Nordeste,0,0,0,0
2020-02-27,Nordeste,0,0,0,0
2020-02-28,Nordeste,0,0,0,0
2020-02-29,Nordeste,0,0,0,0
2020-03-01,Nordeste,0,0,0,0
2020-03-02,Nordeste,0,0,0,0
2020-03-03,Nordeste,0,0,0,0
2020-03-04,Nordeste,0,0,0,0
2020-03-05,Nordeste,0,0,0,0
2020-03-06,Nordeste,1,0,1,0
2020-03-07,Nordeste,2,0,1,0
2020-03-08,Nordeste,3,0,1,0
2020-03-09,Nordeste,3,0,0,0
2020-03-10,Nordeste,3,0,0,0
2020-03-11,Nordeste,4,0,1,0
2020-03-12,Nordeste,7,0,3,0
2020-03-13,Nordeste,11,0,4,0
2020-03-14,Nordeste,17,0,6,0
2020-03-15,Nordeste,20,0,3,0
2020-03-16,Nordeste,34,0,14,0
2020-03-17,Nordeste,49,0,15,0
2020-03-18,Nordeste,74,0,25,0
2020-03-19,Nordeste,98,0,24,0
2020-03-20,Nordeste,158,0,60,0
2020-03-21,Nordeste,191,0,33,0
2020-03-22,Nordeste,256,0,65,0
2020-03-23,Nordeste,316,0,60,0
2020-03-24,Nordeste,364,0,48,0
2020-03-25,Nordeste,410,1,46,1
2020-03-26,Nordeste,464,6,54,5
2020-03-27,Nordeste,551,8,87,2
2020-03-28,Nordeste,655,11,104,3
2020-03-29,Nordeste,740,16,85,5
2020-03-30,Nordeste,812,19,72,3
2020-03-31,Nordeste,911,23,99,4
2020-04-01,Nordeste,1028,28,117,5
2020-04-02,Nordeste,1212,44,184,16
2020-04-03,Nordeste,1451,52,239,8
2020-04-04,Nordeste,1680,64,229,12
2020-04-05,Nordeste,2059,87,379,23
2020-04-06,Nordeste,2247,100,188,13
2020-04-07,Nordeste,2627,122,380,22
2020-04-08,Nordeste,3012,164,385,42
2020-04-09,Nordeste,3318,184,306,20
2020-04-10,Nordeste,3678,208,360,24
2020-04-11,Nordeste,4048,231,370,23
2020-04-12,Nordeste,4419,253,371,22
2020-04-13,Nordeste,4963,307,544,54
2020-04-14,Nordeste,5504,342,541,35
2020-04-15,Nordeste,6141,393,637,51
2020-04-16,Nordeste,6761,435,620,42
2020-04-17,Nordeste,7869,493,1108,58
2020-04-18,Nordeste,8804,553,935,60
2020-04-19,Nordeste,9577,595,773,42
2020-04-20,Nordeste,10268,645,691,50
2020-04-21,Nordeste,11178,704,910,59
2020-04-22,Nordeste,12447,766,1269,62
2020-04-23,Nordeste,13957,861,1510,95
2020-04-24,Nordeste,15287,950,1330,89
2020-04-25,Nordeste,16823,1040,1536,90
2020-04-26,Nordeste,18290,1146,1467,106
2020-04-27,Nordeste,19777,1242,1487,96
2020-04-28,Nordeste,21372,1366,1595,124
2020-04-29,Nordeste,23210,1466,1838,100
2020-04-30,Nordeste,25431,1575,2221,109
2020-05-01,Nordeste,27087,1709,1656,134
2020-05-02,Nordeste,29084,1863,1997,154
2020-05-03,Nordeste,30410,1953,1326,90
2020-05-04,Nordeste,34249,2086,3839,133
2020-05-05,Nordeste,36452,2276,2203,190
2020-05-06,Nordeste,39029,2441,2577,165
2020-05-07,Nordeste,43031,2595,4002,154
2020-05-08,Nordeste,46957,2837,3926,242
2020-05-09,Nordeste,50233,3009,3276,172
2020-05-10,Nordeste,53301,3189,3068,180
2020-05-11,Nordeste,55845,3369,2544,180
2020-05-12,Nordeste,59405,3609,3560,240
2020-05-13,Nordeste,62800,3859,3395,250
2020-05-14,Nordeste,67877,4035,5077,176
2020-05-15,Nordeste,73678,4346,5801,311
2020-05-16,Nordeste,79136,4553,5458,207
2020-05-17,Nordeste,82319,4708,3183,155
2020-05-18,Nordeste,87842,5036,5523,328
2020-05-19,Nordeste,95500,5330,7658,294
2020-05-20,Nordeste,101839,5578,6339,248
2020-05-21,Nordeste,107690,6012,5851,434
2020-05-22,Nordeste,116620,6322,8930,310
2020-05-23,Nordeste,122357,6555,5737,233
2020-05-24,Nordeste,127714,6771,5357,216
2020-05-25,Nordeste,132371,7093,4657,322
2020-05-26,Nordeste,137894,7409,5523,316
2020-05-27,Nordeste,143817,7730,5923,321
2020-05-28,Nordeste,151289,8032,7472,302
2020-05-29,Nordeste,159426,8406,8137,374
2020-05-30,Nordeste,174737,8674,15311,268
2020-05-31,Nordeste,180204,8912,5467,238
2020-06-01,Nordeste,186431,9279,6227,367
2020-06-02,Nordeste,198745,9793,12314,514
2020-06-03,Nordeste,207359,10121,8614,328
2020-06-04,Nordeste,219103,10591,11744,470
2020-06-05,Nordeste,230225,10903,11122,312
2020-06-06,Nordeste,238429,11157,8204,254
2020-06-07,Nordeste,245115,11361,6686,204
2020-06-08,Nordeste,250980,11786,5865,425
2020-06-09,Nordeste,262281,12230,11301,444
2020-06-10,Nordeste,274955,12625,12674,395
2020-06-11,Nordeste,285764,13080,10809,455
2020-06-12,Nordeste,293661,13428,7897,348
2020-06-13,Nordeste,301278,13674,7617,246
2020-06-14,Nordeste,307096,13946,5818,272
2020-06-15,Nordeste,316934,14325,9838,379
2020-06-16,Nordeste,327832,14721,10898,396
2020-06-17,Nordeste,340087,15074,12255,353
2020-06-18,Nordeste,349385,15388,9298,314
2020-06-19,Nordeste,365409,15703,16024,315
2020-06-20,Nordeste,374714,15941,9305,238
2020-06-21,Nordeste,380176,16213,5462,272
2020-06-22,Nordeste,386353,16516,6177,303
2020-06-23,Nordeste,399190,16941,12837,425
2020-06-24,Nordeste,410158,17318,10968,377
2020-06-25,Nordeste,423269,17679,13111,361
2020-06-26,Nordeste,434716,18039,11447,360
2020-06-27,Nordeste,452053,18381,17337,342
2020-06-28,Nordeste,465656,18661,13603,280
2020-06-29,Nordeste,470901,18988,5245,327
2020-06-30,Nordeste,485452,19339,14551,351
2020-07-01,Nordeste,501359,19684,15907,345
2020-07-02,Nordeste,514351,20104,12992,420
2020-07-03,Nordeste,528439,20501,14088,397
2020-07-04,Nordeste,541509,20788,13070,287
2020-07-05,Nordeste,548324,21021,6815,233
2020-07-06,Nordeste,555415,21332,7091,311
2020-07-07,Nordeste,569299,21677,13884,345
2020-07-08,Nordeste,583715,22096,14416,419
2020-07-09,Nordeste,597565,22453,13850,357
2020-07-10,Nordeste,611573,22805,14008,352
2020-07-11,Nordeste,623441,23083,11868,278
2020-07-12,Nordeste,630987,23329,7546,246
2020-07-13,Nordeste,637092,23715,6105,386
2020-07-14,Nordeste,649355,23999,12263,284
2020-07-15,Nordeste,661834,24381,12479,382
2020-07-16,Nordeste,674512,24710,12678,329
2020-07-17,Nordeste,686956,24972,12444,262
2020-07-18,Nordeste,694499,25221,7543,249
2020-07-19,Nordeste,701717,25427,7218,206
2020-07-20,Nordeste,706793,25777,5076,350
2020-07-21,Nordeste,720544,26076,13751,299
2020-07-22,Nordeste,738897,26354,18353,278
2020-07-23,Nordeste,755544,26715,16647,361
2020-07-24,Nordeste,772290,26974,16746,259
2020-07-25,Nordeste,784418,27202,12128,228
2020-07-26,Nordeste,790768,27425,6350,223
2020-07-27,Nordeste,797830,27634,7062,209
2020-07-28,Nordeste,813164,27930,15334,296
2020-07-29,Nordeste,829948,28188,16784,258
2020-07-30,Nordeste,845641,28436,15693,248
2020-07-31,Nordeste,861872,28776,16231,340
2020-08-01,Nordeste,872782,28970,10910,194
2020-08-02,Nordeste,878863,29160,6081,190
2020-08-03,Nordeste,883881,29422,5018,262
2020-08-04,Nordeste,897632,29687,13751,265
2020-08-05,Nordeste,912589,29946,14957,259
2020-08-06,Nordeste,926209,30227,13620,281
2020-08-07,Nordeste,939820,30416,13611,189
2020-08-08,Nordeste,949712,30608,9892,192
2020-08-09,Nordeste,955367,30823,5655,215
2020-08-10,Nordeste,960360,31032,4993,209
2020-08-11,Nordeste,973793,31274,13433,242
2020-08-12,Nordeste,985759,31487,11966,213
2020-08-13,Nordeste,998780,31738,13021,251
2020-08-14,Nordeste,1010008,31940,11228,202
2020-08-15,Nordeste,1019116,32128,9108,188
2020-08-16,Nordeste,1024706,32317,5590,189
2020-08-17,Nordeste,1029162,32542,4456,225
2020-08-18,Nordeste,1041078,32776,11916,234
2020-08-19,Nordeste,1052523,32985,11445,209
2020-08-20,Nordeste,1062730,33174,10207,189
2020-08-21,Nordeste,1069350,33391,6620,217
2020-08-22,Nordeste,1079216,33578,9866,187
2020-08-23,Nordeste,1084503,33747,5287,169
2020-08-24,Nordeste,1089053,33969,4550,222
2020-08-25,Nordeste,1099212,34168,10159,199
2020-08-26,Nordeste,1111140,34355,11928,187
2020-08-27,Nordeste,1120875,34530,9735,175
2020-08-28,Nordeste,1131141,34701,10266,171
2020-08-29,Nordeste,1139333,34859,8192,158
2020-08-30,Nordeste,1142906,34984,3573,125
2020-08-31,Nordeste,1146007,35155,3101,171
2020-09-01,Nordeste,1156832,35334,10825,179
2020-09-02,Nordeste,1166560,35505,9728,171
2020-09-03,Nordeste,1177989,35639,11429,134
2020-09-04,Nordeste,1186196,35777,8207,138
2020-09-05,Nordeste,1191702,35885,5506,108
2020-09-06,Nordeste,1194310,36003,2608,118
2020-09-07,Nordeste,1196165,36102,1855,99
2020-09-08,Nordeste,1199879,36224,3714,122
2020-09-09,Nordeste,1207907,36399,8028,175
2020-09-10,Nordeste,1215196,36560,7289,161
2020-09-11,Nordeste,1222621,36713,7425,153
2020-09-12,Nordeste,1229045,36841,6424,128
2020-09-13,Nordeste,1231367,36954,2322,113
2020-09-14,Nordeste,1234512,37077,3145,123
2020-09-15,Nordeste,1242188,37240,7676,163
2020-09-16,Nordeste,1249558,37361,7370,121
2020-09-17,Nordeste,1256270,37490,6712,129
2020-09-18,Nordeste,1263966,37624,7696,134
2020-09-19,Nordeste,1270058,37747,6092,123
2020-09-20,Nordeste,1273549,37854,3491,107
2020-09-21,Nordeste,1276557,37980,3008,126
2020-09-22,Nordeste,1283154,38114,6597,134
2020-09-23,Nordeste,1289920,38273,6766,159
2020-09-24,Nordeste,1295178,38416,5258,143
2020-09-25,Nordeste,1300826,38545,5648,129
2020-09-26,Nordeste,1306243,38670,5417,125
2020-09-27,Nordeste,1308777,38775,2534,105
2020-09-28,Nordeste,1311408,38911,2631,136
2020-09-29,Nordeste,1317813,39057,6405,146
2020-09-30,Nordeste,1324820,39207,7007,150
2020-10-01,Nordeste,1330940,39378,6120,171
2020-10-02,Nordeste,1336137,39492,5197,114
2020-10-03,Nordeste,1339861,39593,3724,101
2020-10-04,Nordeste,1341990,39678,2129,85
2020-10-05,Nordeste,1355780,39776,13790,98
2020-10-06,Nordeste,1363165,39897,7385,121
2020-10-07,Nordeste,1370109,40013,6944,116
2020-10-08,Nordeste,1375547,40113,5438,100
2020-10-09,Nordeste,1380592,40194,5045,81
2020-10-10,Nordeste,1385450,40277,4858,83
2020-10-11,Nordeste,1388469,40354,3019,77
2020-10-12,Nordeste,1390106,40427,1637,73
2020-10-13,Nordeste,1393141,40516,3035,89
2020-10-14,Nordeste,1400257,40664,7116,148
2020-10-15,Nordeste,1408716,40879,8459,215
2020-10-16,Nordeste,1414378,40958,5662,79
2020-10-17,Nordeste,1418007,41030,3629,72
2020-10-18,Nordeste,1422279,41103,4272,73
2020-10-19,Nordeste,1425832,41176,3553,73
2020-10-20,Nordeste,1431343,41265,5511,89
2020-10-21,Nordeste,1436873,41358,5530,93
2020-10-22,Nordeste,1441326,41421,4453,63
2020-10-23,Nordeste,1447224,41499,5898,78
2020-10-24,Nordeste,1451629,41569,4405,70
2020-10-25,Nordeste,1453669,41641,2040,72
2020-10-26,Nordeste,1456714,41749,3045,108
2020-10-27,Nordeste,1462649,41852,5935,103
2020-10-28,Nordeste,1468181,41939,5532,87
2020-10-29,Nordeste,1472706,42023,4525,84
2020-10-30,Nordeste,1477006,42109,4300,86
2020-10-31,Nordeste,1479390,42190,2384,81
2020-11-01,Nordeste,1481290,42269,1900,79
2020-11-02,Nordeste,1482812,42332,1522,63
2020-11-03,Nordeste,1485095,42409,2283,77
2020-11-04,Nordeste,1489234,42519,4139,110
2020-11-05,Nordeste,1496079,42604,6845,85
2020-11-06,Nordeste,1501497,42684,5418,80
2020-11-07,Nordeste,1505708,42743,4211,59
2020-11-08,Nordeste,1508181,42802,2473,59
2020-11-09,Nordeste,1511312,42871,3131,69
2020-11-10,Nordeste,1516009,42951,4697,80
2020-11-11,Nordeste,1521150,43024,5141,73
2020-11-12,Nordeste,1528190,43145,7040,121
2020-11-13,Nordeste,1533737,43211,5547,66
2020-11-14,Nordeste,1537847,43267,4110,56
2020-11-15,Nordeste,1541599,43327,3752,60
2020-11-16,Nordeste,1545260,43397,3661,70
2020-11-17,Nordeste,1549364,43478,4104,81
2020-11-18,Nordeste,1554980,43565,5616,87
2020-11-19,Nordeste,1562077,43656,7097,91
2020-11-20,Nordeste,1568302,43728,6225,72
2020-11-21,Nordeste,1573263,43791,4961,63
2020-11-22,Nordeste,1576686,43836,3423,45
2020-11-23,Nordeste,1581472,43925,4786,89
2020-11-24,Nordeste,1587506,44003,6034,78
2020-11-25,Nordeste,1595693,44085,8187,82
2020-11-26,Nordeste,1606616,44193,10923,108
2020-11-27,Nordeste,1612053,44298,5437,105
2020-11-28,Nordeste,1622972,44371,10919,73
2020-11-29,Nordeste,1629099,44426,6127,55
2020-11-30,Nordeste,1634065,44511,4966,85
2020-12-01,Nordeste,1642500,44609,8435,98
2020-12-02,Nordeste,1649943,44698,7443,89
2020-12-03,Nordeste,1659218,44789,9275,91
2020-12-04,Nordeste,1667802,44905,8584,116
2020-12-05,Nordeste,1674042,44990,6240,85
2020-12-06,Nordeste,1684210,45087,10168,97
2020-12-07,Nordeste,1692705,45212,8495,125
2020-12-08,Nordeste,1701265,45293,8560,81
2020-12-09,Nordeste,1713276,45404,12011,111
2020-12-10,Nordeste,1725318,45530,12042,126
2020-12-11,Nordeste,1735386,45615,10068,85
2020-12-12,Nordeste,1742409,45697,7023,82
2020-12-13,Nordeste,1747470,45782,5061,85
2020-12-14,Nordeste,1753345,45894,5875,112
2020-12-15,Nordeste,1765448,46051,12103,157
2020-12-16,Nordeste,1777413,46165,11965,114
