date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Sudeste,1,0,1,0
2020-02-26,Sudeste,1,0,0,0
2020-02-27,Sudeste,1,0,0,0
2020-02-28,Sudeste,2,0,1,0
2020-02-29,Sudeste,2,0,0,0
2020-03-01,Sudeste,2,0,0,0
2020-03-02,Sudeste,2,0,0,0
2020-03-03,Sudeste,2,0,0,0
2020-03-04,Sudeste,3,0,1,0
2020-03-05,Sudeste,8,0,5,0
2020-03-06,Sudeste,13,0,5,0
2020-03-07,Sudeste,16,0,3,0
2020-03-08,Sudeste,21,0,5,0
2020-03-09,Sudeste,21,0,0,0
2020-03-10,Sudeste,24,0,3,0
2020-03-11,Sudeste,35,0,11,0
2020-03-12,Sudeste,65,0,30,0
2020-03-13,Sudeste,65,0,0,0
2020-03-14,Sudeste,88,0,23,0
2020-03-15,Sudeste,97,0,9,0
2020-03-16,Sudeste,191,0,94,0
2020-03-17,Sudeste,211,1,20,1
2020-03-18,Sudeste,333,3,122,2
2020-03-19,Sudeste,394,7,61,4
2020-03-20,Sudeste,516,11,122,4
2020-03-21,Sudeste,596,18,80,7
2020-03-22,Sudeste,926,25,330,7
2020-03-23,Sudeste,1139,34,213,9
2020-03-24,Sudeste,1285,46,146,12
2020-03-25,Sudeste,1405,56,120,10
2020-03-26,Sudeste,1674,67,269,11
2020-03-27,Sudeste,1959,78,285,11
2020-03-28,Sudeste,2230,97,271,19
2020-03-29,Sudeste,2354,115,124,18
2020-03-30,Sudeste,2520,132,166,17
2020-03-31,Sudeste,3419,161,899,29
2020-04-01,Sudeste,4247,195,828,34
2020-04-02,Sudeste,5007,235,760,40
2020-04-03,Sudeste,5672,277,665,42
2020-04-04,Sudeste,6308,330,636,53
2020-04-05,Sudeste,6706,351,398,21
2020-04-06,Sudeste,7061,390,355,39
2020-04-07,Sudeste,8156,477,1095,87
2020-04-08,Sudeste,9533,554,1377,77
2020-04-09,Sudeste,10651,640,1118,86
2020-04-10,Sudeste,11727,712,1076,72
2020-04-11,Sudeste,12159,741,432,29
2020-04-12,Sudeste,12846,792,687,51
2020-04-13,Sudeste,13394,830,548,38
2020-04-14,Sudeste,14222,964,828,134
2020-04-15,Sudeste,16423,1094,2201,130
2020-04-16,Sudeste,17405,1215,982,121
2020-04-17,Sudeste,19163,1332,1758,117
2020-04-18,Sudeste,20613,1447,1450,115
2020-04-19,Sudeste,21291,1490,678,43
2020-04-20,Sudeste,21880,1534,589,44
2020-04-21,Sudeste,23234,1632,1354,98
2020-04-22,Sudeste,24100,1708,866,76
2020-04-23,Sudeste,25673,1969,1573,261
2020-04-24,Sudeste,27192,2183,1519,214
2020-04-25,Sudeste,30024,2392,2832,209
2020-04-26,Sudeste,31193,2463,1169,71
2020-04-27,Sudeste,33170,2627,1977,164
2020-04-28,Sudeste,36358,2935,3188,308
