date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,RJ,0,0,0,0
2020-02-26,Brazil,RJ,0,0,0,0
2020-02-27,Brazil,RJ,0,0,0,0
2020-02-28,Brazil,RJ,0,0,0,0
2020-02-29,Brazil,RJ,0,0,0,0
2020-03-01,Brazil,RJ,0,0,0,0
2020-03-02,Brazil,RJ,0,0,0,0
2020-03-03,Brazil,RJ,0,0,0,0
2020-03-04,Brazil,RJ,0,0,0,0
2020-03-05,Brazil,RJ,1,0,1,0
2020-03-06,Brazil,RJ,2,0,1,0
2020-03-07,Brazil,RJ,2,0,0,0
2020-03-08,Brazil,RJ,3,0,1,0
2020-03-09,Brazil,RJ,3,0,0,0
2020-03-10,Brazil,RJ,3,0,0,0
2020-03-11,Brazil,RJ,3,0,0,0
2020-03-12,Brazil,RJ,15,0,12,0
2020-03-13,Brazil,RJ,15,0,0,0
2020-03-14,Brazil,RJ,15,0,0,0
2020-03-15,Brazil,RJ,24,0,9,0
2020-03-16,Brazil,RJ,25,0,1,0
2020-03-17,Brazil,RJ,25,0,0,0
2020-03-18,Brazil,RJ,63,0,38,0
2020-03-19,Brazil,RJ,66,2,3,2
2020-03-20,Brazil,RJ,66,2,0,0
2020-03-21,Brazil,RJ,119,3,53,1
2020-03-22,Brazil,RJ,186,3,67,0
2020-03-23,Brazil,RJ,233,4,47,1
2020-03-24,Brazil,RJ,305,6,72,2
2020-03-25,Brazil,RJ,370,8,65,2
2020-03-26,Brazil,RJ,421,9,51,1
2020-03-27,Brazil,RJ,493,10,72,1
2020-03-28,Brazil,RJ,558,13,65,3
2020-03-29,Brazil,RJ,600,17,42,4
2020-03-30,Brazil,RJ,657,18,57,1
2020-03-31,Brazil,RJ,708,23,51,5
2020-04-01,Brazil,RJ,832,28,124,5
2020-04-02,Brazil,RJ,992,41,160,13
2020-04-03,Brazil,RJ,1074,47,82,6
2020-04-04,Brazil,RJ,1246,58,172,11
2020-04-05,Brazil,RJ,1394,64,148,6
2020-04-06,Brazil,RJ,1461,71,67,7
2020-04-07,Brazil,RJ,1688,89,227,18
2020-04-08,Brazil,RJ,1938,106,250,17
2020-04-09,Brazil,RJ,2216,122,278,16
2020-04-10,Brazil,RJ,2464,147,248,25
2020-04-11,Brazil,RJ,2607,155,143,8
2020-04-12,Brazil,RJ,2855,170,248,15
2020-04-13,Brazil,RJ,3221,182,366,12
2020-04-14,Brazil,RJ,3410,224,189,42
2020-04-15,Brazil,RJ,3743,265,333,41
2020-04-16,Brazil,RJ,3944,301,201,36
2020-04-17,Brazil,RJ,4349,341,405,40
2020-04-18,Brazil,RJ,4543,387,194,46
2020-04-19,Brazil,RJ,4675,402,132,15
2020-04-20,Brazil,RJ,4899,422,224,20
2020-04-21,Brazil,RJ,5306,461,407,39
2020-04-22,Brazil,RJ,5552,490,246,29
2020-04-23,Brazil,RJ,6172,530,620,40
2020-04-24,Brazil,RJ,6282,570,110,40
2020-04-25,Brazil,RJ,6828,615,546,45
2020-04-26,Brazil,RJ,7111,645,283,30
2020-04-27,Brazil,RJ,7944,677,833,32
2020-04-28,Brazil,RJ,8504,738,560,61
2020-04-29,Brazil,RJ,8869,794,365,56
2020-04-30,Brazil,RJ,9453,854,584,60
2020-05-01,Brazil,RJ,10166,921,713,67
2020-05-02,Brazil,RJ,10546,971,380,50
2020-05-03,Brazil,RJ,11139,1019,593,48
2020-05-04,Brazil,RJ,11721,1065,582,46
2020-05-05,Brazil,RJ,12391,1123,670,58
2020-05-06,Brazil,RJ,13295,1205,904,82
2020-05-07,Brazil,RJ,14156,1394,861,189
2020-05-08,Brazil,RJ,15741,1503,1585,109
2020-05-09,Brazil,RJ,16929,1653,1188,150
2020-05-10,Brazil,RJ,17062,1714,133,61
2020-05-11,Brazil,RJ,17939,1770,877,56
2020-05-12,Brazil,RJ,18486,1928,547,158
2020-05-13,Brazil,RJ,18728,2050,242,122
2020-05-14,Brazil,RJ,19467,2247,739,197
2020-05-15,Brazil,RJ,19987,2438,520,191
2020-05-16,Brazil,RJ,21601,2614,1614,176
2020-05-17,Brazil,RJ,22238,2715,637,101
2020-05-18,Brazil,RJ,26665,2852,4427,137
2020-05-19,Brazil,RJ,27805,3079,1140,227
2020-05-20,Brazil,RJ,30372,3237,2567,158
2020-05-21,Brazil,RJ,32089,3412,1717,175
2020-05-22,Brazil,RJ,33589,3657,1500,245
2020-05-23,Brazil,RJ,34533,3905,944,248
2020-05-24,Brazil,RJ,37912,3993,3379,88
2020-05-25,Brazil,RJ,39298,4105,1386,112
2020-05-26,Brazil,RJ,40024,4361,726,256
2020-05-27,Brazil,RJ,42398,4605,2374,244
2020-05-28,Brazil,RJ,44886,4856,2488,251
2020-05-29,Brazil,RJ,47953,5079,3067,223
2020-05-30,Brazil,RJ,52420,5277,4467,198
2020-05-31,Brazil,RJ,53388,5344,968,67
2020-06-01,Brazil,RJ,54530,5462,1142,118
2020-06-02,Brazil,RJ,56732,5686,2202,224
2020-06-03,Brazil,RJ,59240,6010,2508,324
2020-06-04,Brazil,RJ,60932,6327,1692,317
2020-06-05,Brazil,RJ,63066,6473,2134,146
2020-06-06,Brazil,RJ,64533,6639,1467,166
2020-06-07,Brazil,RJ,67756,6707,3223,68
2020-06-08,Brazil,RJ,69499,6781,1743,74
2020-06-09,Brazil,RJ,72979,6928,3480,147
2020-06-10,Brazil,RJ,74373,7138,1394,210
2020-06-11,Brazil,RJ,75775,7363,1402,225
