date,country,state,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Brazil,RN,0,0,0,0
2020-02-26,Brazil,RN,0,0,0,0
2020-02-27,Brazil,RN,0,0,0,0
2020-02-28,Brazil,RN,0,0,0,0
2020-02-29,Brazil,RN,0,0,0,0
2020-03-01,Brazil,RN,0,0,0,0
2020-03-02,Brazil,RN,0,0,0,0
2020-03-03,Brazil,RN,0,0,0,0
2020-03-04,Brazil,RN,0,0,0,0
2020-03-05,Brazil,RN,0,0,0,0
2020-03-06,Brazil,RN,0,0,0,0
2020-03-07,Brazil,RN,0,0,0,0
2020-03-08,Brazil,RN,0,0,0,0
2020-03-09,Brazil,RN,0,0,0,0
2020-03-10,Brazil,RN,0,0,0,0
2020-03-11,Brazil,RN,0,0,0,0
2020-03-12,Brazil,RN,1,0,1,0
2020-03-13,Brazil,RN,1,0,0,0
2020-03-14,Brazil,RN,1,0,0,0
2020-03-15,Brazil,RN,1,0,0,0
2020-03-16,Brazil,RN,1,0,0,0
2020-03-17,Brazil,RN,1,0,0,0
2020-03-18,Brazil,RN,1,0,0,0
2020-03-19,Brazil,RN,1,0,0,0
2020-03-20,Brazil,RN,6,0,5,0
2020-03-21,Brazil,RN,9,0,3,0
2020-03-22,Brazil,RN,13,0,4,0
2020-03-23,Brazil,RN,13,0,0,0
2020-03-24,Brazil,RN,14,0,1,0
2020-03-25,Brazil,RN,14,0,0,0
2020-03-26,Brazil,RN,19,0,5,0
2020-03-27,Brazil,RN,28,0,9,0
2020-03-28,Brazil,RN,68,1,40,1
2020-03-29,Brazil,RN,68,1,0,0
2020-03-30,Brazil,RN,77,1,9,0
2020-03-31,Brazil,RN,82,1,5,0
2020-04-01,Brazil,RN,92,2,10,1
2020-04-02,Brazil,RN,106,2,14,0
2020-04-03,Brazil,RN,176,4,70,2
2020-04-04,Brazil,RN,215,6,39,2
2020-04-05,Brazil,RN,246,7,31,1
2020-04-06,Brazil,RN,246,7,0,0
2020-04-07,Brazil,RN,254,8,8,1
2020-04-08,Brazil,RN,261,11,7,3
2020-04-09,Brazil,RN,261,11,0,0
2020-04-10,Brazil,RN,263,11,2,0
2020-04-11,Brazil,RN,289,13,26,2
2020-04-12,Brazil,RN,339,17,50,4
2020-04-13,Brazil,RN,376,18,37,1
2020-04-14,Brazil,RN,399,19,23,1
2020-04-15,Brazil,RN,400,20,1,1
2020-04-16,Brazil,RN,463,23,63,3
2020-04-17,Brazil,RN,516,24,53,1
2020-04-18,Brazil,RN,561,26,45,2
2020-04-19,Brazil,RN,595,27,34,1
2020-04-20,Brazil,RN,608,28,13,1
2020-04-21,Brazil,RN,646,29,38,1
2020-04-22,Brazil,RN,708,34,62,5
2020-04-23,Brazil,RN,754,38,46,4
2020-04-24,Brazil,RN,781,40,27,2
2020-04-25,Brazil,RN,825,44,44,4
2020-04-26,Brazil,RN,832,45,7,1
2020-04-27,Brazil,RN,857,48,25,3
2020-04-28,Brazil,RN,1086,54,229,6
2020-04-29,Brazil,RN,1177,56,91,2
2020-04-30,Brazil,RN,1297,56,120,0
2020-05-01,Brazil,RN,1366,59,69,3
2020-05-02,Brazil,RN,1392,61,26,2
2020-05-03,Brazil,RN,1421,62,29,1
2020-05-04,Brazil,RN,1536,68,115,6
2020-05-05,Brazil,RN,1644,72,108,4
2020-05-06,Brazil,RN,1739,76,95,4
2020-05-07,Brazil,RN,1821,81,82,5
2020-05-08,Brazil,RN,1919,87,98,6
2020-05-09,Brazil,RN,1919,87,0,0
2020-05-10,Brazil,RN,1930,87,11,0
2020-05-11,Brazil,RN,2033,93,103,6
2020-05-12,Brazil,RN,2367,105,334,12
2020-05-13,Brazil,RN,2537,117,170,12
2020-05-14,Brazil,RN,2786,122,249,5
2020-05-15,Brazil,RN,2786,122,0,0
2020-05-16,Brazil,RN,3004,136,218,14
2020-05-17,Brazil,RN,3138,139,134,3
2020-05-18,Brazil,RN,3483,160,345,21
2020-05-19,Brazil,RN,3796,170,313,10
2020-05-20,Brazil,RN,4060,178,264,8
2020-05-21,Brazil,RN,4251,181,191,3
2020-05-22,Brazil,RN,4599,184,348,3
2020-05-23,Brazil,RN,4599,184,0,0
2020-05-24,Brazil,RN,4774,212,175,28
2020-05-25,Brazil,RN,5472,220,698,8
2020-05-26,Brazil,RN,5630,242,158,22
2020-05-27,Brazil,RN,5630,242,0,0
2020-05-28,Brazil,RN,6463,268,833,26
2020-05-29,Brazil,RN,7402,305,939,37
2020-05-30,Brazil,RN,7402,305,0,0
2020-05-31,Brazil,RN,8008,323,606,18
2020-06-01,Brazil,RN,8233,341,225,18
2020-06-02,Brazil,RN,9149,367,916,26
2020-06-03,Brazil,RN,9282,378,133,11
2020-06-04,Brazil,RN,9433,387,151,9
2020-06-05,Brazil,RN,9449,410,16,23
2020-06-06,Brazil,RN,9449,410,0,0
2020-06-07,Brazil,RN,10888,431,1439,21
2020-06-08,Brazil,RN,11027,459,139,28
2020-06-09,Brazil,RN,11568,487,541,28
2020-06-10,Brazil,RN,13234,496,1666,9
2020-06-11,Brazil,RN,13544,515,310,19
2020-06-12,Brazil,RN,13789,533,245,18
2020-06-13,Brazil,RN,14171,534,382,1
2020-06-14,Brazil,RN,14214,553,43,19
2020-06-15,Brazil,RN,15212,585,998,32
2020-06-16,Brazil,RN,15690,626,478,41
2020-06-17,Brazil,RN,15889,655,199,29
2020-06-18,Brazil,RN,16039,693,150,38
2020-06-19,Brazil,RN,19206,697,3167,4
2020-06-20,Brazil,RN,19290,697,84,0
2020-06-21,Brazil,RN,19957,730,667,33
2020-06-22,Brazil,RN,20075,750,118,20
2020-06-23,Brazil,RN,21844,814,1769,64
2020-06-24,Brazil,RN,22738,865,894,51
2020-06-25,Brazil,RN,23806,896,1068,31
2020-06-26,Brazil,RN,24253,909,447,13
2020-06-27,Brazil,RN,24301,937,48,28
2020-06-28,Brazil,RN,29784,999,5483,62
2020-06-29,Brazil,RN,30352,1039,568,40
2020-06-30,Brazil,RN,31964,1072,1612,33
2020-07-01,Brazil,RN,32962,1108,998,36
2020-07-02,Brazil,RN,33487,1177,525,69
